U,analytic_mean,analytic_std,rl_mean,rl_std
0,3.712378795844036,0.0,1.6014976884398435,4.440892098500626e-16
1,3.276439702118951,0.5619031903639514,1.5158324623421364,0.2401202965111222
2,3.0450928200970018,0.7347709576449736,1.5221735232467584,0.4062574719631711
3,2.301852812646197,1.1727814083860497,1.4483852022015267,0.3839730131774952
4,2.1529672369266324,1.4549347136185324,1.4018483766240861,0.5075832645019026
